ConditionCode,Condition,Address,StoreName,Classify,Lat,Long
1,영업/정상,서울특별시 관악구 양녕로 46 (봉천동),홈플러스 익스프레스 봉천점,구분없음,195274.343265834,442663.498606503
﻿1,영업/정상,서울특별시 관악구 은천로 51 (봉천동),(주)이마트에브리데이 봉천동점,대형마트,194770.417438694,442676.831360439
1,영업/정상,서울특별시 관악구 난곡로 220 (신림동),(주)천성세이브마트,그 밖의 대규모점포,192674.885947244,441352.743493574
1,영업/정상,서울특별시 관악구 과천대로 909 (남현동),홈플러스 서울남현점,대형마트,198449.00217100000,441337.85896100000
1,영업/정상,서울특별시 관악구 신림로 330 (신림동),타임스트림,복합쇼핑몰,193754.427350029,442407.201247108
1,영업/정상,서울특별시 관악구 쑥고개로 111 (봉천동),(주)지에스리테일 관악점,구분없음,195431.465419568,441896.302934956
1,영업/정상,서울특별시 관악구 봉천로 576 (봉천동),(주)지에스리테일 낙성대점,구분없음,196501.159765837,441640.881044209
1,영업/정상,,봉일시장,그 밖의 대규모점포,194486.270488664,442632.469540589
1,영업/정상,,봉일시장,그 밖의 대규모점포,194486.270488664,442632.469540589
1,영업/정상,서울특별시 관악구 양녕로 49 (봉천동),봉천현대시장,시장,195206.056916766,442716.301708689
1,영업/정상,서울특별시 관악구 관악로 212 (봉천동),관악프라자,쇼핑센터,195963.335274799,442381.536010445
1,영업/정상,서울특별시 관악구 관악로40길 47 (봉천동),관악현대상가,그 밖의 대규모점포,196257.833652996,443341.379446435
1,영업/정상,서울특별시 관악구 신림로29길 8 (신림동),신림현대종합상가,시장,193957.944323928,441437.774867372
1,영업/정상,서울특별시 서초구 매헌로 16 (양재동),하이브랜드,그 밖의 대규모점포,203204.755637424,440136.781183797
1,영업/정상,서울특별시 관악구 신림로 340 (신림동),르네상스쇼핑몰(주),복합쇼핑몰,193746.833837509,442510.775085572
1,영업/정상,서울특별시 관악구 남부순환로 1820 (봉천동),라붐아울렛,복합쇼핑몰,195703.043681259,442094.085759338
1,영업/정상,,관악종합시장,그 밖의 대규모점포,,
2,휴업,,르네상스쇼핑몰(주),쇼핑센터,193746.833837509,442510.775085572
2,휴업,,르네상스쇼핑몰(주),쇼핑센터,193746.833837509,442510.775085572
2,휴업,,관악종합시장,그 밖의 대규모점포,193580.366498464,442144.670802989
3,폐업,서울특별시 관악구 신림로 101 (신림동),홈플러스 익스프레스 신림점,구분없음,194457.492960109,440910.563872941
3,폐업,서울특별시 관악구 남현길 79 (남현동),롯데쇼핑(주)롯데슈퍼 남현2점,구분없음,197790.079787758,441231.59187991
1,영업/정상,서울특별시 서초구 방배중앙로 198 (방배동),롯데쇼핑(주)롯데슈퍼 방배점,전문점,198660.616347373,443855.573402136
1,영업/정상,서울특별시 서초구 신반포로 23 (반포동),엘루체,그 밖의 대규모점포,198791.788015494,444392.672548989
1,영업/정상,서울특별시 서초구 사임당로 151 (서초동),무지개쇼핑,그 밖의 대규모점포,202216.049985624,443352.024569293
1,영업/정상,서울특별시 방배로33길 29,롯데슈퍼 방배2점,대형마트,198984.364832071,443229.835878514
1,영업/정상,서울특별시 서초구 효령로 304 (서초동),국제전자도매센타,전문점,201501.672660443,442505.573142545
1,영업/정상,서울특별시 서초구 신반포로3길 8 (반포동),반포프라자,그 밖의 대규모점포,198776.113460442,444432.325191038
1,영업/정상,서울특별시 서초구 사임당로 130 (서초동),신동아종합상가,그 밖의 대규모점포,202250.14517858,443143.784571728
1,영업/정상,서울특별시 서초구 방배천로16길 18 (방배동),방배종합시장,그 밖의 대규모점포,198492.797210723,442199.268340209
1,영업/정상,서울특별시 서초구 신반포로15길 29 (반포동),신반포종합시장,그 밖의 대규모점포,199448.513021585,444800.550772527
1,영업/정상,서울특별시 서초구 나루터로 37 (잠원동),신사쇼핑,그 밖의 대규모점포,201230.693449214,445992.459343379
